shot_id,timestamp,magnitude1,magnitude2,magnitude3,magnitude4,magnitude5,magnitude6,magnitude7,magnitude8
49,1756300545.6063044,3.0511,1.5565,1.1544,18.6274,11.5103,14.5678,4.5611,11.2005
50,1756300546.131495,1.1544,18.6274,11.5103,14.5678,4.5611,11.2005,13.5230,2.4440
50,1756300547.045237,14.5678,4.5611,11.2005,13.5230,2.4440,0.9007,0.6250,0.3619
50,1756300552.0317116,0.1044,0.3574,13.3708,19.1582,3.2714,17.1575,8.1783,1.2239
51,1756300552.366102,13.3708,19.1582,3.2714,17.1575,8.1783,1.2239,0.6851,0.3239
51,1756300557.1556644,0.6251,2.0841,8.1921,25.3645,3.3040,10.3347,10.9203,3.4545
52,1756300558.2828982,25.3645,3.3040,10.3347,10.9203,3.4545,1.5963,0.2881,0.4930
52,1756300562.564768,0.9362,0.2907,4.8858,10.0556,5.0521,4.9848,2.2815,2.1691
53,1756300568.3660192,7.3392,8.6763,14.1153,17.0603,4.4560,3.6464,4.8919,5.3129
54,1756300573.766092,0.8315,0.4343,7.4795,10.2869,6.4736,9.5554,2.3569,14.2849
55,1756300574.6896787,6.4736,9.5554,2.3569,14.2849,9.8257,1.6810,1.6455,3.2748
55,1756300586.0859654,2.8521,4.4903,2.9474,13.2505,11.4167,1.6907,1.6457,3.4299
56,1756300601.4664314,0.3202,3.7394,10.0713,15.2327,6.4941,4.8028,0.5778,2.4309
57,1756300616.5318196,0.4431,2.7800,6.1878,11.9785,3.4167,12.8531,3.0921,17.7647
58,1756300617.2568018,6.1878,11.9785,3.4167,12.8531,3.0921,17.7647,4.7871,16.9392
58,1756300617.3666904,3.4167,12.8531,3.0921,17.7647,4.7871,16.9392,3.3479,4.4407
58,1756300618.1815238,3.0921,17.7647,4.7871,16.9392,3.3479,4.4407,5.2375,0.5750
58,1756300620.8249068,0.5750,1.1872,3.4643,12.1541,5.5210,0.8245,2.2294,3.2503
58,1756300622.4537044,2.2294,3.2503,9.5291,28.2619,10.1345,24.3516,9.9920,10.0257
59,1756300624.1930022,9.5291,28.2619,10.1345,24.3516,9.9920,10.0257,27.9767,2.7031
59,1756300624.4075854,24.3516,9.9920,10.0257,27.9767,2.7031,2.3373,5.4871,23.7339
59,1756300626.242833,2.7031,2.3373,5.4871,23.7339,6.0890,10.5431,22.5040,16.6661
59,1756300626.9645586,23.7339,6.0890,10.5431,22.5040,16.6661,3.5424,9.6307,29.4639
59,1756300628.79901,16.6661,3.5424,9.6307,29.4639,3.5455,4.1985,4.7108,7.1898
60,1756300630.9406533,4.7108,7.1898,10.3394,25.2464,5.9674,1.4801,17.1302,1.5418
60,1756300632.0623584,25.2464,5.9674,1.4801,17.1302,1.5418,21.8115,9.7876,22.6617
60,1756300632.8774655,1.4801,17.1302,1.5418,21.8115,9.7876,22.6617,2.5105,2.0341
60,1756300633.3876307,1.5418,21.8115,9.7876,22.6617,2.5105,2.0341,2.6957,2.8044
60,1756300635.5268035,2.6957,2.8044,10.4276,28.9679,3.0270,1.2304,29.9777,2.8326
61,1756300636.5534651,28.9679,3.0270,1.2304,29.9777,2.8326,0.2007,2.0321,0.1688
